 Site,Geo Point,Geo Shape,Shape__Length
RGA,"48.848155358688025, 2.243285181988248","{""coordinates"":[[2.24298708879219,48.8487878026846],[2.24296128764622,48.8487310128106],[2.24288299451361,48.8486572444246],[2.24281003954914,48.8485354678036],[2.24277890023504,48.8484974125488],[2.24283584069511,48.8483820756767],[2.24288566359768,48.84828664446],[2.24289633993394,48.8482380505803],[2.24288299451361,48.8480969524215],[2.24293548650025,48.8480951960104],[2.24293726588962,48.8479851274573],[2.24422999227228,48.8479804436837]],""type"":""LineString""}",292.8880134412178
RGA,"48.8450235196399, 2.251938254893633","{""coordinates"":[[2.25257831881525,48.8439822115003],[2.25203738444447,48.8440446667651],[2.25224616613144,48.8445859424636],[2.25232525010378,48.8446010356445],[2.25243319972602,48.8448414850153],[2.2524106607939,48.8448742734764],[2.25245929743689,48.8450105014957],[2.25265384400884,48.8454129379786],[2.25185371191872,48.8454262093497],[2.25157612717581,48.8454426033915],[2.25078726455175,48.8454644621056],[2.25080624470511,48.8456237181631],[2.25088572409731,48.8458298134857]],""type"":""LineString""}",579.3743045675
SPA,"48.831772793502594, 2.2826276580742","{""coordinates"":[[2.28258969776748,48.8317329685407],[2.28266561838092,48.8318126184645]],""type"":""LineString""}",15.901384782089565
SPA,"48.830331490426914, 2.292400554655049","{""coordinates"":[[2.29248519619118,48.8295982613987],[2.29245237392242,48.8306934301324],[2.29229806027082,48.8307588944074],[2.29216383188816,48.8308046871007],[2.29216187234973,48.8306092616531]],""type"":""LineString""}",255.5465288979676
SPA,"48.8292117580505, 2.2921481220386375","{""coordinates"":[[2.29216696452742,48.8278020484397],[2.2921527294124,48.8303673821376],[2.29204596604974,48.830441177465],[2.29191785001456,48.8303779243339]],""type"":""LineString""}",468.8599572242766
STA,"48.918619756071834, 2.357896658164275","{""coordinates"":[[2.3579536814168,48.9147452757532],[2.35800769119486,48.9147467244966],[2.35799336207007,48.9148821818262],[2.35818404965384,48.9149147784549],[2.35805508753071,48.9152371217496],[2.35804406512703,48.9153066607045],[2.35803194048297,48.9154298023663],[2.35801871359855,48.915776046118],[2.35808815474177,48.9159578593447],[2.35811626187117,48.9160563714142],[2.35808374578029,48.9160835346345],[2.35796360158012,48.9180417828129],[2.35799115758933,48.9180859665542],[2.35792943212869,48.9183684518454],[2.35786439994695,48.9195092415761],[2.35783133273589,48.9198771859766],[2.35779385656336,48.9202291932401],[2.35772055757885,48.9210787807984],[2.35767205900263,48.9215727372533],[2.35765442315673,48.9227388027606]],""type"":""LineString""}",1383.0158280344958
STA,"48.92575198916394, 2.3647167133063496","{""coordinates"":[[2.36701740396766,48.9269175840927],[2.3665037599559,48.926565623969],[2.36623922226744,48.9263961608024],[2.36543679127911,48.9258776289088],[2.36501353097758,48.9255850470843],[2.36493857863251,48.9255242130243],[2.36475340225059,48.9254561367265],[2.36445800183181,48.9254300649283],[2.36444808166849,48.9253402619635],[2.36422873583515,48.9253388135273],[2.36321687917679,48.9253105690123],[2.36263710074291,48.9252931877643],[2.36260623801259,48.9252663916618],[2.36233508688192,48.9252533557149],[2.36233508688192,48.9251287898281]],""type"":""LineString""}",661.5718922294813
STA,"48.92890876033119, 2.356781395800236","{""coordinates"":[[2.35536617215155,48.9293471999904],[2.35536837663229,48.9293790630201],[2.35557008661974,48.9295231705594],[2.35575085404019,48.9295412744923],[2.35590957665327,48.9295238947169],[2.35601980069012,48.92948116941],[2.35639235793471,48.9294688587216],[2.35678695998666,48.9294732036708],[2.35678585774629,48.9289887395055],[2.35680790255366,48.9286751749914],[2.35702835062738,48.9284608202873],[2.35820113437955,48.927958241799]],""type"":""LineString""}",511.525904955935
STA,"48.923448967021734, 2.3627668525277663","{""coordinates"":[[2.36315294923541,48.9229618730597],[2.36279361887525,48.9229473880055],[2.36272968893387,48.9237353688468],[2.36271866653018,48.9239859557367],[2.36241885714993,48.9239758164072]],""type"":""LineString""}",249.65476806981323
TRO,"48.86316661206983, 2.2926764612679804","{""coordinates"":[[2.29353793015578,48.8630493083207],[2.29259155590228,48.8625660317626],[2.29204497596764,48.8629958600844],[2.293005393584,48.8640084008092],[2.29280288726781,48.8640601389231]],""type"":""LineString""}",454.332889356253
TRO,"48.8625440361555, 2.287206638686978","{""coordinates"":[[2.28547855624373,48.8630328812174],[2.28639050705556,48.8629358325445],[2.28652461744264,48.862706443648],[2.28687330480839,48.862512344848],[2.28718175932748,48.862468231057],[2.28751703484604,48.8626976210453],[2.2885362750455,48.8620888535682],[2.28809371013931,48.8617888781393]],""type"":""LineString""}",508.2427670787344
VEL,"48.790258868522514, 2.0345591683422666","{""coordinates"":[[2.03432710198567,48.7906725406042],[2.03439620848215,48.7908086769664],[2.03429670748801,48.791001860003],[2.03439151658144,48.7910471919773],[2.03470918691705,48.7907736453985],[2.03466372946873,48.7905631418117],[2.03465127163235,48.7903757037006],[2.03472497211321,48.7903029566004],[2.03479152020776,48.7902561272263],[2.03447984163512,48.7900239611422],[2.03425639019975,48.7898601865454],[2.03423522409504,48.7898321462043],[2.03457633866293,48.7897442663632],[2.03468844122385,48.7896368700853],[2.03478276792197,48.7896573540148],[2.0348401702686,48.789513892353],[2.03485591324396,48.7894166355032],[2.03481758662237,48.7893572258219]],""type"":""LineString""}",444.43548737961913
VEL,"48.7895383018305, 2.032274366907223","{""coordinates"":[[2.031183242833,48.7893876154256],[2.03120073303159,48.7896639849092],[2.03202299784206,48.7896884962476],[2.03218795996926,48.7897754606232],[2.03234693033351,48.7896052981494],[2.03249679627237,48.7896766684749],[2.03265937516913,48.7895601897692],[2.03305973003675,48.7892423603162],[2.03331687907504,48.789309503667],[2.03338247854865,48.7891865807652],[2.03329008143179,48.7891650194971]],""type"":""LineString""}",376.4744213882606
VER,"48.81595529596108, 2.0929438938896983","{""coordinates"":[[2.09330486098559,48.8162616917877],[2.09339387774204,48.8160089658623],[2.09229857000095,48.815814894239]],""type"":""LineString""}",170.1249753500022
VER,"48.81121021189912, 2.1119158286076214","{""coordinates"":[[2.11221076133603,48.8121893531859],[2.11206642812101,48.8119948455787],[2.11123525831114,48.8122711520462],[2.11169405846945,48.8112420981689],[2.11186458925308,48.8108827007148],[2.11263416248227,48.8107259287626],[2.11196553922976,48.8096735182934]],""type"":""LineString""}",667.6979688369265
VER,"48.81677547512045, 2.0817908705342703","{""coordinates"":[[2.08166809266722,48.8169064095763],[2.08191364840132,48.8166445406646]],""type"":""LineString""}",52.03013446562498
VN1,"48.8650137868411, 2.636078468046902","{""coordinates"":[[2.64193946363237,48.8657290548999],[2.6421510603431,48.8657487157121],[2.64208799878519,48.8658728304476],[2.64227060940334,48.8659086563393],[2.64236149306726,48.8658677824467],[2.64244061667747,48.8657516816287],[2.64255642658561,48.865442822713],[2.64248825433701,48.8653854277872],[2.64238046368943,48.8650998633409],[2.64226433128613,48.8649956097547],[2.64206339342841,48.8649811848171],[2.64203651314017,48.864880584797],[2.64195426698601,48.8647958703889],[2.64135986972884,48.8649423580176],[2.63941794474823,48.8648458933559],[2.63540159507922,48.8650234774694],[2.6342133090113,48.8649090234284],[2.63307039145844,48.8647474547466],[2.63202924584079,48.8647188694685],[2.63007867816884,48.8651493571111],[2.62834826152189,48.8654102998162]],""type"":""LineString""}",1837.5847139454147
VN2,"48.862195355963124, 2.644299560677043","{""coordinates"":[[2.64671029934143,48.8606153233477],[2.64659251044475,48.8604956253577],[2.64684631146196,48.8598153006477],[2.64696023580629,48.8595358136695],[2.64697438606864,48.8594657555133],[2.64686951225079,48.859343213196],[2.6465493212425,48.8594214812375],[2.64644894708592,48.8594458810592],[2.6463706292645,48.8595422751613],[2.64631376950029,48.8597045485786],[2.64616157243329,48.8600826090677],[2.64548366329568,48.8609006415269],[2.64503642445509,48.8615057357112],[2.64438588967913,48.8623647987623],[2.64383191391478,48.863134445271],[2.64317835630792,48.8643533148458],[2.64295737703623,48.8646094484283],[2.64273163938848,48.8644932211825],[2.6423631001533,48.8645133885162],[2.64225135063027,48.8644601232651],[2.64142614563386,48.8641581191225],[2.64126650961796,48.8640574081212],[2.64152689618456,48.8635108653468],[2.64117219369967,48.8634491600927],[2.64114439353656,48.863527915757]],""type"":""LineString""}",1606.3255586392552
VNS,"48.86454607616309, 2.642124140520815","{""coordinates"":[[2.63956467017684,48.8640336310505],[2.63952175496077,48.8641550278442],[2.6409165035254,48.8643074788711],[2.64095941874147,48.8641606744057],[2.64177051839129,48.8643893504505],[2.64202801058601,48.8644627524017],[2.64220825575115,48.8645841481545],[2.64221683825539,48.8646293184683],[2.64214978351098,48.8647175416107],[2.64207682683518,48.8647810618696],[2.64199743373037,48.8647980007493],[2.64203820287124,48.8648530520687],[2.64207253558308,48.8649193956889],[2.64210686739661,48.8649673886399],[2.64220986463382,48.8649843274565],[2.64229354899073,48.8650083239065],[2.64233431902993,48.8650436132695],[2.64239225497583,48.865129718336],[2.64239869230316,48.8651537147163],[2.64259395640155,48.8651170142609],[2.64254889600857,48.8650436132695],[2.64266476700212,48.8650393785709],[2.6429394251036,48.8650549056003],[2.64306387949971,48.8648191743408],[2.64310035828674,48.8646949562032],[2.64340505694966,48.8641874942344],[2.64335141315416,48.864410524215],[2.64327845647836,48.8645940294042],[2.64361534177788,48.8647069547946],[2.64370144085487,48.8646416695896],[2.643748916384,48.8645933231378],[2.64384440274819,48.8646243778191],[2.644319690007,48.8647810621237],[2.64433471086079,48.8647655347552]],""type"":""LineString""}",936.3511174318716
YDM,"48.928461926919994, 2.245040754088317","{""coordinates"":[[2.24323513698446,48.9281969792813],[2.24641546786128,48.9286546568444],[2.24649188986017,48.9287158089437],[2.24674565008725,48.9287479942291],[2.24683089000908,48.9287595809267]],""type"":""LineString""}",414.2924925242471
YDM,"48.9303790366357, 2.245616403922697","{""coordinates"":[[2.24467906566586,48.9310658111901],[2.24477381815021,48.9309623546422],[2.24498867941756,48.9309329834646],[2.24500669573501,48.9308356639166],[2.24514682264849,48.9306620664141],[2.24533499307517,48.9305033732195],[2.24562325415434,48.9302666476273],[2.2459795768772,48.9299711774431],[2.24603562764259,48.9299255854489],[2.24613705283711,48.929909803595],[2.24621178719097,48.9299238319098],[2.2462651688723,48.9300040562593],[2.24623113805045,48.9300496481818],[2.24638661219732,48.9301114602412],[2.24660080619365,48.9301627510408]],""type"":""LineString""}",343.3560213766424
