Nom du site,Geo Point,Geo Shape,Nom de l'arrêt
Novotel Collegien,"48.8306934984574, 2.67868095851924","{""coordinates"": [2.67868095851924, 48.8306934984574], ""type"": ""Point""}",Novotel Collegien (FR000424D) - TA
Novotel les Halles,"48.8579623118435, 2.34794762173078","{""coordinates"": [2.34794762173078, 48.8579623118435], ""type"": ""Point""}",Novotel les Halles
Novotel Marne La Vallee Noisy,"48.838420508017, 2.54259351874218","{""coordinates"": [2.54259351874218, 48.838420508017], ""type"": ""Point""}",Novotel Marne La Vallee Noisy (TF DDS Hotel) - DDS
Novotel Nord Expo Aulnay,"48.9529074016349, 2.48439495571885","{""coordinates"": [2.48439495571885, 48.9529074016349], ""type"": ""Point""}",Novotel Nord Expo Aulnay
Novotel Paris CDG AIRPORT,"49.0088215847829, 2.56152367295251","{""coordinates"": [2.56152367295251, 49.0088215847829], ""type"": ""Point""}",Novotel Paris CDG AIRPORT
Novotel Paris La Defense Esplanade,"48.8878122484353, 2.25330827344349","{""coordinates"": [2.25330827344349, 48.8878122484353], ""type"": ""Point""}",Novotel Paris La Defense Esplanade (TF DDS Hotel) - DDS
Novotel Paris La Defense Esplanade,"48.8878758858625, 2.25268868742573","{""coordinates"": [2.25268868742573, 48.8878758858625], ""type"": ""Point""}",Novotel Paris La Defense Esplanade (TF DDS Hotel) - DDS
Novotel Paris Saint Denis - Stade Basilique,"48.9295930119605, 2.35778444753595","{""coordinates"": [2.35778444753595, 48.9295930119605], ""type"": ""Point""}",Novotel Paris Saint Denis - Stade Basilique
Novotel Suites Paris Stade De France,"48.924382651314, 2.36553347867012","{""coordinates"": [2.36553347867012, 48.924382651314], ""type"": ""Point""}",Novotel Suites Paris Stade De France
Oceania Porte de Versailles - AND,"48.8302720190606, 2.28452051136349","{""coordinates"": [2.28452051136349, 48.8302720190606], ""type"": ""Point""}",Océania Porte de Versailles
Odalys City Paris 17,"48.8992728118764, 2.32110799381961","{""coordinates"": [2.32110799381961, 48.8992728118764], ""type"": ""Point""}",Odalys City Paris 17
Orangerie - Hotels,"49.0031483516785, 2.51987785877431","{""coordinates"": [2.51987785877431, 49.0031483516785], ""type"": ""Point""}",Orangerie - Hotels
Palais des Sports Saint-Sauveur,"50.6323933238882, 3.07288470206215","{""coordinates"": [3.07288470206215, 50.6323933238882], ""type"": ""Point""}",Venue_code_1 is unknown () - TA
Palais des Sports Saint-Sauveur,"50.6326970062844, 3.07149364108177","{""coordinates"": [3.07149364108177, 50.6326970062844], ""type"": ""Point""}",Venue_code_1 is unknown () - TX
